id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
1,033b,Movement for Harpsichord,Zurich,,,F Major,1766,,10,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
2,045a,"Symphony #7a ""Alte Lambacher""",Vienna,,,G Major,1768,,12,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
3,045b,Symphony #55,Vienna,,,B Flat Major,1768,,12,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
4,061gl,Minuet for Keyboard,Salzburg,,,A Major,1770,,14,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
5,061gll,Minuet for Keyboard,Salzburg,,,C Major,1771,,15,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
6,061h,6 Minuets for Orchestra,Salzburg,,,,1769,,13,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
7,089a/I,Canon for 4 Winds,Salzburg,,,A Major,1772,,16,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
8,089a/II,"4 Canons ""Puzzle""",Salzburg,,,,1772,,16,Vocal Music (smaller forms),Canons,2025-09-05 20:46:27.448184+00,
9,"1,01",Minuet in G for Piano,Salzburg,1,1e,G Major,1761,December 1761 - January 1762,5,,,2025-09-05 20:46:27.448184+00,
10,"1,02",Minuet in C for Piano,Salzburg,1,1f,C Major,1761,December 1761 - January 1762,5,,,2025-09-05 20:46:27.448184+00,
11,10,Violin Sonata No. 5 in B-flat,London,10,10,B Flat Major,1764,1764,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
12,100,Cassation in D (Serenade No. 1),Salzburg,100,62a,D Major,1769,Summer 1769,13,Orchestral Music,"Cassations, Serenades and Divertimenti for orchestra",2025-09-05 20:46:27.448184+00,
13,101,4 Contradanses,Salzburg,,,F Major,1776,,20,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
14,102,Finale of a Symphony,Salzburg,,,C Major,1775,,19,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
15,103,20 Minuets (I. Zwölf Menuette in der Ordnung letzter Hand; II. Acht Menuette aus der ursprünglichen Reihe),Salzburg,103,61d,,1772,1771-72,16,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
16,104,6 Minuets for Orchestra,Salzburg,,,,1771,,15,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
17,105,6 Minuets for Orchestra,Salzburg,,,,1771,,15,Orchestral Music,Dances and Marches,2025-09-05 20:46:27.448184+00,
18,106,Overture and 3 Contredanses (doubtful),Vienna,106,588a,,1790,January 1790,34,Supplement,Supplement,2025-09-05 20:46:27.448184+00,
19,107,3 concertos after J.C. Bach,Salzburg,,,,1772,,16,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
20,108,Regina Coeli in C,Salzburg,108,74d,C Major,1771,May 1771,15,Sacred Works,Smaller Church Works,2025-09-05 20:46:27.448184+00,
21,109,Litaniae Lauretanae B.M.V. in B-flat,Salzburg,109,74e,B Flat Major,1771,May 1771,15,Sacred Works,Litanies and Vespers,2025-09-05 20:46:27.448184+00,
22,11,Violin Sonata No. 6 in G,London,11,11,G Major,1764,1764,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
23,110,Symphony No. 12 in G,Salzburg,110,75b,G Major,1771,July 1771,15,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
24,111,Ascanio in Alba,Milan,111,111,,1771,17 October 1771,15,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
25,111,Finale of Symphony No. 48 in D (Ascanio in Alba),Milan,120,111a,D Major,1771,August 1771,15,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
26,112,Symphony No. 13 in F,Milan,112,112,F Major,1771,2 November 1771,15,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
27,113,Divertimento No. 1 in E-flat,Milan,113,113,E Flat Major,1771,November 1771,15,Orchestral Music,"Cassations, Serenades and Divertimenti for orchestra",2025-09-05 20:46:27.448184+00,
28,114,Symphony No. 14 in A,Salzburg,114,114,A Major,1771,30 December 1771,15,Orchestral Music,Symphonies,2025-09-05 20:46:27.448184+00,
