k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id,k9_key2,k9_key2_str,k9_key3,id
"1,01",Minuet in G for Piano,Salzburg,1,1e,G Major,1761,December 1761 - January 1762,5,,,2025-09-05 20:46:27.448184+00,,1,0001,"0001|1,01",1
"1,02",Minuet in C for Piano,Salzburg,1,1f,C Major,1761,December 1761 - January 1762,5,,,2025-09-05 20:46:27.448184+00,,1,0001,"0001|1,02",2
1a,Andante in C for Piano,Salzburg,,1a,C Major,1761,early 1761,5,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1a,3
1b,Allegro in C for Piano,Salzburg,,1b,C Major,1761,early 1761,5,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1b,4
1c,Allegro in F for Piano,Salzburg,,1c,F Major,1761,11 December 1761,5,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1c,5
1d,Minuet in F for Piano,Salzburg,,1d,F Major,1761,16 December 1761,5,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1d,6
1e,Minuet for Harpsichord,Paris,,,G Major,1763,,7,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1e,7
1f,Minuet for Harpsichord,Paris,,,C Major,1763,,7,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,1,0001,0001|1f,8
2,Minuet in F for Piano,Salzburg,2,2,F Major,1762,January 1762,6,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,2,0002,0002|2,9
3,Allegro in B-flat for Piano,Salzburg,3,3,B Flat Major,1762,4 March 1762,6,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,3,0003,0003|3,10
4,Minuet in F for Piano,Salzburg,4,4,F Major,1762,11 May 1762,6,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,4,0004,0004|4,11
5,Minuet in F for Piano,Salzburg,5,5,F Major,1762,5 July 1762,6,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,,5,0005,0005|5,12
6,Violin Sonata No. 1 in C,Salzburg or Paris,6,6,C Major,1764,1762-64,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,,6,0006,0006|6,13
7,Violin Sonata No. 2 in D,Salzburg or Paris,7,7,D Major,1764,1762-64,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,,7,0007,0007|7,14
8,Violin Sonata No. 3 in B-flat,Paris,8,8,B Flat Major,1764,January 1764,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:28.676547+00,,8,0008,0008|8,15
9,Violin Sonata No. 4 in G,Paris,9,9,G Major,1764,January 1764,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:28.676547+00,,9,0009,0009|9,16
9a,Allegro in C for Piano,Salzburg,9a,5a,C Major,1763,1764,7,Piano Music,Piano Pieces,2025-09-05 20:46:28.676547+00,,9,0009,0009|9a,17
9b,Andante in B-flat for Piano,Salzburg,9b,5b,B Flat Major,1763,1764,7,Piano Music,Piano Pieces,2025-09-05 20:46:28.676547+00,,9,0009,0009|9b,18
10,Violin Sonata No. 5 in B-flat,London,10,10,B Flat Major,1764,1764,8,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,,10,0010,0010|10,19
